Data File,Category,Sub-Category 1,Sub-Category 2,Sub-Category 3,Resolution (C),Ocean Resolution (mx),Data Format,File Size (Bytes),Version,Dataset Type
oro_data_ls.tile1.nc,UFS_WM,NAGAPE,INPUT_L127_atm,,,,.nc,369108,,FV3_input_data
oro_data_ss.tile5.nc,UFS_WM,NAGAPE,INPUT_L127_atm,,,,.nc,369108,,FV3_input_data
sfc_data.tile1.nc,UFS_WM,NAGAPE,INPUT_L127_atm,,,,.nc,4699919,,FV3_input_data
sfc_data.tile5.nc,UFS_WM,NAGAPE,INPUT_L127_mx100,,,100,.nc,4820343,,FV3_input_data
sfc_data.tile2.nc,UFS_WM,NAGAPE,INPUT_L127_mx100,,,100,.nc,4820343,,FV3_input_data
sfc_data.tile4.nc,UFS_WM,NAGAPE,INPUT_L127_mx100,,,100,.nc,4820343,,FV3_input_data
fv_increment3.nc,UFS_WM,NAGAPE,INPUT_L127_mx100,,,100,.nc,112382078,,FV3_input_data
gfs_data.tile6.nc,UFS_WM,NAGAPE,INPUT_L127_mx100,,,100,.nc,170405705,,FV3_input_data
sfc_data.tile3.nc,UFS_WM,NAGAPE,INPUT_L127_mx100,,,100,.nc,4820343,,FV3_input_data
gfs_data.tile2.nc,UFS_WM,NAGAPE,INPUT_L127_mx100,,,100,.nc,170405705,,FV3_input_data
gfs_data.tile4.nc,UFS_WM,NAGAPE,INPUT_L127_mx100,,,100,.nc,170405705,,FV3_input_data
gfs_data.tile5.nc,UFS_WM,NAGAPE,INPUT_L127_mx100,,,100,.nc,170405705,,FV3_input_data
gfs_data.tile3.nc,UFS_WM,NAGAPE,INPUT_L127_mx100,,,100,.nc,170405705,,FV3_input_data
gfs_ctrl.nc,UFS_WM,NAGAPE,INPUT_L127_mx100,,,100,.nc,8553,,FV3_input_data
sfc_data.tile6.nc,UFS_WM,NAGAPE,INPUT_L127_mx100,,,100,.nc,4820343,,FV3_input_data
fv_increment6.nc,UFS_WM,NAGAPE,INPUT_L127_mx100,,,100,.nc,112382078,,FV3_input_data
gfs_data.tile1.nc,UFS_WM,NAGAPE,INPUT_L127_mx100,,,100,.nc,170405705,,FV3_input_data
fv_increment9.nc,UFS_WM,NAGAPE,INPUT_L127_mx100,,,100,.nc,112382078,,FV3_input_data
sfc_data.tile1.nc,UFS_WM,NAGAPE,INPUT_L127_mx100,,,100,.nc,4820343,,FV3_input_data
global_soilmgldas.statsgo.t1534.3072.1536.grb,UFS_WM,NAGAPE,,,,,.grb,111393120,,FV3_input_data
GENPARM.TBL,UFS_WM,NAGAPE,,,,,.TBL,245,,FV3_input_data
global_soiltype.statsgo.t126.384.190.rg.grb,UFS_WM,NAGAPE,,,,,.grb,21524,,FV3_input_data
oro_data.tile2.nc,UFS_WM,NAGAPE,INPUT_L127,,,,.nc,753517,,FV3_input_data
oro_data_ss.tile4.nc,UFS_WM,NAGAPE,INPUT_L127,,,,.nc,369108,,FV3_input_data
oro_data.tile4.nc,UFS_WM,NAGAPE,INPUT_L127,,,,.nc,753517,,FV3_input_data
oro_data_ss.tile6.nc,UFS_WM,NAGAPE,INPUT_L127,,,,.nc,369108,,FV3_input_data
C96_grid.tile3.nc,UFS_WM,NAGAPE,INPUT_L127,,96,,.nc,2094971,,FV3_input_data
sfc_data.tile5.nc,UFS_WM,NAGAPE,INPUT_L127,,,,.nc,4699919,,FV3_input_data
oro_data.tile6.nc,UFS_WM,NAGAPE,INPUT_L127,,,,.nc,753517,,FV3_input_data
sfc_data.tile2.nc,UFS_WM,NAGAPE,INPUT_L127,,,,.nc,4699919,,FV3_input_data
C96_grid.tile4.nc,UFS_WM,NAGAPE,INPUT_L127,,96,,.nc,2094971,,FV3_input_data
C96_grid.tile1.nc,UFS_WM,NAGAPE,INPUT_L127,,96,,.nc,2094971,,FV3_input_data
sfc_data.tile4.nc,UFS_WM,NAGAPE,INPUT_L127,,,,.nc,4699919,,FV3_input_data
oro_data.tile3.nc,UFS_WM,NAGAPE,INPUT_L127,,,,.nc,753517,,FV3_input_data
oro_data_ls.tile2.nc,UFS_WM,NAGAPE,INPUT_L127,,,,.nc,369108,,FV3_input_data
gfs_data.tile6.nc,UFS_WM,NAGAPE,INPUT_L127,,,,.nc,138283253,,FV3_input_data
sfc_data.tile3.nc,UFS_WM,NAGAPE,INPUT_L127,,,,.nc,4699919,,FV3_input_data
gfs_data.tile2.nc,UFS_WM,NAGAPE,INPUT_L127,,,,.nc,138283253,,FV3_input_data
oro_data_ls.tile6.nc,UFS_WM,NAGAPE,INPUT_L127,,,,.nc,369108,,FV3_input_data
oro_data_ss.tile2.nc,UFS_WM,NAGAPE,INPUT_L127,,,,.nc,369108,,FV3_input_data
oro_data.tile5.nc,UFS_WM,NAGAPE,INPUT_L127,,,,.nc,753517,,FV3_input_data
oro_data_ss.tile1.nc,UFS_WM,NAGAPE,INPUT_L127,,,,.nc,369108,,FV3_input_data
gfs_data.tile4.nc,UFS_WM,NAGAPE,INPUT_L127,,,,.nc,138283253,,FV3_input_data
oro_data.tile1.nc,UFS_WM,NAGAPE,INPUT_L127,,,,.nc,753517,,FV3_input_data
oro_data_ls.tile3.nc,UFS_WM,NAGAPE,INPUT_L127,,,,.nc,369108,,FV3_input_data
grid_spec.nc,UFS_WM,NAGAPE,INPUT_L127,,,,.nc,21966,,FV3_input_data
C96_grid.tile5.nc,UFS_WM,NAGAPE,INPUT_L127,,96,,.nc,2094971,,FV3_input_data
C96_mosaic.nc,UFS_WM,NAGAPE,INPUT_L127,,96,,.nc,22010,,FV3_input_data
oro_data_ss.tile3.nc,UFS_WM,NAGAPE,INPUT_L127,,,,.nc,369108,,FV3_input_data
gfs_data.tile5.nc,UFS_WM,NAGAPE,INPUT_L127,,,,.nc,138283253,,FV3_input_data
gfs_data.tile3.nc,UFS_WM,NAGAPE,INPUT_L127,,,,.nc,138283253,,FV3_input_data
oro_data_ls.tile5.nc,UFS_WM,NAGAPE,INPUT_L127,,,,.nc,369108,,FV3_input_data
gfs_ctrl.nc,UFS_WM,NAGAPE,INPUT_L127,,,,.nc,8553,,FV3_input_data
sfc_data.tile6.nc,UFS_WM,NAGAPE,INPUT_L127,,,,.nc,4699919,,FV3_input_data
C96_grid.tile6.nc,UFS_WM,NAGAPE,INPUT_L127,,96,,.nc,2094971,,FV3_input_data
oro_data_ls.tile4.nc,UFS_WM,NAGAPE,INPUT_L127,,,,.nc,369108,,FV3_input_data
gfs_data.tile1.nc,UFS_WM,NAGAPE,INPUT_L127,,,,.nc,138283253,,FV3_input_data
C96_grid.tile2.nc,UFS_WM,NAGAPE,INPUT_L127,,96,,.nc,2094971,,FV3_input_data
oro_data_ls.tile1.nc,UFS_WM,NAGAPE,INPUT_L127,,,,.nc,369108,,FV3_input_data
oro_data_ss.tile5.nc,UFS_WM,NAGAPE,INPUT_L127,,,,.nc,369108,,FV3_input_data
